time,leftfootx,leftfooty,rightfootx,rightfooty
634.498,-0.573,-3.778,0.311,-3.973
638.199,-1.406,-2.220,-0.555,-3.133
638.199,1.704,-2.855,1.126,-3.626
639.640,0.204,-1.549,0.243,-2.845
642.699,1.246,-4.847,2.456,-5.285
643.659,-0.428,-2.538,0.482,-3.082
645.669,-1.495,-5.444,-0.720,-4.587
646.984,-1.033,-2.503,-0.665,-3.502
649.139,1.722,-2.736,0.999,-3.789
651.639,1.734,-5.465,2.671,-6.259
654.210,1.461,-5.232,2.410,-5.515
656.279,1.928,-2.797,0.973,-3.816
658.071,1.689,-1.322,1.043,-2.425
661.053,-1.319,-5.445,-0.767,-4.409
663.771,0.920,-5.038,1.702,-5.396
