time,leftfootx,leftfooty,rightfootx,rightfooty
1217.608,-0.230,-1.589,-0.043,-2.795
1219.449,1.268,-1.150,0.138,-1.985
1222.089,1.882,-3.156,0.901,-3.856
1224.082,-0.772,-1.418,-0.366,-2.365
1225.815,-1.162,-5.244,-0.351,-4.861
1229.569,-1.489,-1.882,-0.931,-2.971
1229.569,-1.655,-3.289,-0.679,-4.039
1231.377,-0.035,-0.970,-0.124,-2.303
