time,leftfootx,leftfooty,rightfootx,rightfooty
1120.410,-2.223,-5.304,-1.338,-4.847
1121.277,-0.784,-2.783,-0.677,-4.160
1123.194,-0.424,-3.194,0.117,-3.562
1125.073,-0.580,-5.487,-0.173,-4.444
1126.596,1.458,-3.532,0.279,-4.026
1128.492,1.608,-1.540,0.819,-2.720
1131.070,-1.309,-3.109,-0.637,-3.866
1132.761,-1.603,-1.068,-1.042,-2.134
