time,leftfootx,leftfooty,rightfootx,rightfooty
1774.556,-0.927,-2.464,-0.745,-3.098
1776.368,1.667,-1.253,0.916,-2.309
1778.615,-0.036,-2.434,0.273,-3.861
1780.379,-1.382,-1.858,-0.754,-2.831
1782.296,-2.092,-1.285,-1.353,-2.770
1784.806,-0.223,-3.387,0.191,-3.724
1786.919,0.197,-4.647,1.151,-5.186
1787.929,-1.131,-2.649,-0.352,-3.330
1790.653,0.923,-3.331,0.318,-3.669
1790.653,-0.871,-5.694,-0.028,-4.722
1792.469,-1.599,-1.759,-1.065,-2.740
1794.167,-1.560,-1.525,-1.274,-2.308
1796.662,-1.327,-3.068,-0.790,-3.996
1798.184,-1.518,-1.457,-1.047,-2.557
1800.759,1.039,-5.090,1.748,-5.876
1801.951,-1.125,-2.950,-0.222,-3.529
1804.115,-1.643,-5.895,-0.982,-5.137
1805.179,0.996,-3.586,-0.225,-4.103
1807.420,1.284,-4.945,1.962,-5.629
1808.479,-0.156,-3.244,0.345,-4.050
1810.104,-1.140,-5.512,-0.399,-4.545
1812.009,-1.028,-1.355,-0.429,-2.371
1815.244,0.465,-5.718,1.023,-6.051
1817.162,-1.260,-6.005,-0.551,-5.161
1819.001,-1.860,-3.009,-1.030,-3.833
1820.824,1.353,-0.830,0.517,-2.118
1823.926,-1.271,-5.739,-0.704,-4.820
1825.724,-1.339,-3.556,-0.220,-3.724
1827.112,-1.677,-3.778,-0.816,-3.969
