time,leftfootx,leftfooty,rightfootx,rightfooty
1470.164,-1.798,-6.004,-1.161,-5.160
1471.452,-0.559,-2.921,-0.279,-3.779
1473.024,-1.486,-3.640,-0.330,-4.287
1474.760,1.580,-1.148,0.751,-2.403
