time,leftfootx,leftfooty,rightfootx,rightfooty
842.991,-0.140,-3.124,0.555,-3.907
844.054,-0.114,-3.066,0.451,-3.717
844.998,-0.478,-3.068,0.356,-3.438
846.195,-0.641,-5.344,-0.216,-4.308
848.605,0.750,-5.030,1.589,-5.521
849.865,-0.277,-3.992,0.986,-4.119
