time,leftfootx,leftfooty,rightfootx,rightfooty
1645.218,0.349,-2.372,0.829,-3.128
1647.049,-0.163,-3.416,0.171,-4.050
1648.389,1.330,-1.694,0.896,-2.772
1650.155,0.361,-1.148,-0.018,-2.277
