time,leftfootx,leftfooty,rightfootx,rightfooty
1261.763,-1.508,-5.591,-0.790,-4.585
1262.942,-0.494,-2.642,-0.252,-3.715
1264.673,-1.342,-5.454,-0.753,-4.509
1267.045,-1.768,-5.838,-1.171,-5.220
1268.709,-1.035,-2.792,-0.330,-3.548
1269.735,1.091,-3.581,0.594,-3.800
